Expected Output,Actual Output,File name,Parsed Json file
who'd,food,vowel/no1J40008.aiff,no1j-vowel.json
head,head,vowel/no1J10006.aiff,no1j-vowel.json
had,add,vowel/no1J10007.aiff,no1j-vowel.json
hudd,hood,vowel/no1J1.aiff,no1j-vowel.json
hod,hard,vowel/no1J10000.aiff,no1j-vowel.json
hod,hard,vowel/no1J0.aiff,no1j-vowel.json
hudd,hard,vowel/no1J10001.aiff,no1j-vowel.json
hoed,hold,vowel/no1J10003.aiff,no1j-vowel.json
heed,guide,vowel/no1J10004.aiff,no1j-vowel.json
hayed,hate,vowel/no1J10002.aiff,no1j-vowel.json
hid,head,vowel/no1J10005.aiff,no1j-vowel.json
hood,good,vowel/no1J9.aiff,no1j-vowel.json
had,add,vowel/no1J40007.aiff,no1j-vowel.json
head,head,vowel/no1J40006.aiff,no1j-vowel.json
hid,head,vowel/no1J40005.aiff,no1j-vowel.json
hayed,paid,vowel/no1J20002.aiff,no1j-vowel.json
hoed,hold,vowel/no1J20003.aiff,no1j-vowel.json
hudd,hard,vowel/no1J20001.aiff,no1j-vowel.json
heed,eid,vowel/no1J20004.aiff,no1j-vowel.json
who'd,food,vowel/no1J10008.aiff,no1j-vowel.json
hood,hood,vowel/no1J10009.aiff,no1j-vowel.json
hod,hard,vowel/no1J20000.aiff,no1j-vowel.json
hayed,hate,vowel/no1J2.aiff,no1j-vowel.json
hoed,code,vowel/no1J40003.aiff,no1j-vowel.json
heed,heed,vowel/no1J40004.aiff,no1j-vowel.json
had,add,vowel/no1J30007.aiff,no1j-vowel.json
head,head,vowel/no1J30006.aiff,no1j-vowel.json
hood,good,vowel/no1J30009.aiff,no1j-vowel.json
who'd,food,vowel/no1J30008.aiff,no1j-vowel.json
hayed,paid,vowel/no1J40002.aiff,no1j-vowel.json
hudd,hide,vowel/no1J40001.aiff,no1j-vowel.json
hood,good,vowel/no1J20009.aiff,no1j-vowel.json
who'd,food,vowel/no1J20008.aiff,no1j-vowel.json
hoed,hold,vowel/no1J3.aiff,no1j-vowel.json
hod,todd,vowel/no1J30000.aiff,no1j-vowel.json
hayed,paid,vowel/no1J30002.aiff,no1j-vowel.json
hoed,hold,vowel/no1J30003.aiff,no1j-vowel.json
hudd,good,vowel/no1J30001.aiff,no1j-vowel.json
hid,head,vowel/no1J5.aiff,no1j-vowel.json
head,head,vowel/no1J6.aiff,no1j-vowel.json
hood,good,vowel/no1J40009.aiff,no1j-vowel.json
had,head,vowel/no1J7.aiff,no1j-vowel.json
hid,head,vowel/no1J20005.aiff,no1j-vowel.json
head,head,vowel/no1J20006.aiff,no1j-vowel.json
heed,heat,vowel/no1J4.aiff,no1j-vowel.json
hod,todd,vowel/no1J40000.aiff,no1j-vowel.json
heed,hied,vowel/no1J30004.aiff,no1j-vowel.json
hid,head,vowel/no1J30005.aiff,no1j-vowel.json
had,add,vowel/no1J20007.aiff,no1j-vowel.json
amphibian,amphibian,no5G8.aiff,no5G-cvc.json
anonymous,anonymous,no5G9.aiff,no5G-cvc.json
alligator,alligator,no5G7.aiff,no5G-cvc.json
alibi,alibi,no5G5.aiff,no5G-cvc.json
alien,alien,no5G6.aiff,no5G-cvc.json
adapt,adapt,no5G4.aiff,no5G-cvc.json
absent,absent,no5G0.aiff,no5G-cvc.json
accelerate,accelerate,no5G2.aiff,no5G-cvc.json
absentee,absentee,no5G1.aiff,no5G-cvc.json
accuser,accuser,no5G3.aiff,no5G-cvc.json
victorious,victorious,no5G111.aiff,no5G-cvc.json
underrate,underweight,no5G110.aiff,no5G-cvc.json
influenza,influenza,no5G51.aiff,no5G-cvc.json
iodine,iodine,no5G53.aiff,no5G-cvc.json
incoherent,incoherent,no5G50.aiff,no5G-cvc.json
malfunction,malfunction,no5G59.aiff,no5G-cvc.json
macaroni,macaroni,no5G58.aiff,no5G-cvc.json
liberator,liberator,no5G57.aiff,no5G-cvc.json
kangeroo,kangaroo,no5G54.aiff,no5G-cvc.json
kazoo,kazoo,no5G55.aiff,no5G-cvc.json
lemonade,lemonade,no5G56.aiff,no5G-cvc.json
coronation,coronation,no5G26.aiff,no5G-cvc.json
